Country Name,Country Code,Indicator Name,Indicator Code,value_2010,value_2019
Aruba,ABW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,11.6
Africa Eastern and Southern,AFE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.351852242,6.648452482
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.6,9.2
Africa Western and Central,AFW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.472570947,3.395120021
Angola,AGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.5,4.5
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.5,9
Andorra,AND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6,7.7
Arab World,ARB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.804548729,12.53600133
United Arab Emirates,ARE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,18.7,16.3
Argentina,ARG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7,5.9
Armenia,ARM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8,6.1
Antigua and Barbuda,ATG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.1,13.1
Australia,AUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7,5.6
Austria,AUT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.9,6.6
Azerbaijan,AZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.5,6.1
Burundi,BDI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.8,5.1
Belgium,BEL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,4.6
Benin,BEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.6,1
Burkina Faso,BFA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.8,7.3
Bangladesh,BGD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6,9.2
Bulgaria,BGR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.5,6
Bahrain,BHR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,15.4,15.6
"Bahamas, The",BHS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.4,8.8
Bosnia and Herzegovina,BIH,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.1,9
Belarus,BLR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,5
Belize,BLZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.8,17.1
Bermuda,BMU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,6.7
Bolivia,BOL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6,6.8
Brazil,BRA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4,10.4
Barbados,BRB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8,13.4
Brunei Darussalam,BRN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,12.6,13.3
Bhutan,BTN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.6,10.3
Botswana,BWA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.4,5.8
Central African Republic,CAF,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.5,6
Canada,CAN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.2,7.6
Central Europe and the Baltics,CEB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.06113659,6.295943662
Switzerland,CHE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.9,5.7
Channel Islands,CHI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3,3.9
Chile,CHL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7,8.6
China,CHN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.2,9.2
Cote d'Ivoire,CIV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,2.4
Cameroon,CMR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,6
"Congo, Dem. Rep.",COD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.2,6
"Congo, Rep.",COG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.1,6
Colombia,COL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,7.4
Comoros,COM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.4,12.3
Cabo Verde,CPV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,2.4
Costa Rica,CRI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.3,9.1
Caribbean small states,CSS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.41807244,11.62934214
Cuba,CUB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5,9.6
Curacao,CUW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,11.6
Cayman Islands,CYM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,6.8
Cyprus,CYP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,9
Czech Republic,CZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4,7
Germany,DEU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.9,10.4
Djibouti,DJI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3,5.1
Dominica,DMA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.5,11.6
Denmark,DNK,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.6,8.3
Dominican Republic,DOM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.2,8.6
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.5,6.7
East Asia & Pacific (excluding high income),EAP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.573145372,8.488061856
Early-demographic dividend,EAR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.378814011,10.09091053
East Asia & Pacific,EAS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.756760965,8.202460904
Europe & Central Asia (excluding high income),ECA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.243488041,7.215087542
Europe & Central Asia,ECS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.881917468,6.687622963
Ecuador,ECU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.9,5.5
"Egypt, Arab Rep.",EGY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.4,17.2
Euro area,EMU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.094378243,6.761899919
Eritrea,ERI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2.5,5.1
Spain,ESP,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6,6.9
Estonia,EST,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6,4.2
Ethiopia,ETH,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2.5,4.3
European Union,EUU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.02664689,6.67189385
Fragile and conflict affected situations,FCS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.758644821,6.235320341
Finland,FIN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7,5.6
Fiji,FJI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.4,14.7
France,FRA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.7,4.8
Faroe Islands,FRO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,4.7
"Micronesia, Fed. Sts.",FSM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.2,11.9
Gabon,GAB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5,6
United Kingdom,GBR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.6,3.9
Georgia,GEO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.5,5.8
Ghana,GHA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,2.5
Guinea,GIN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,2.4
"Gambia, The",GMB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.3,1.9
Guinea-Bissau,GNB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.9,2.4
Equatorial Guinea,GNQ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8,6
Greece,GRC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6,4.7
Grenada,GRD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5,10.7
Greenland,GRL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,2.1
Guatemala,GTM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.6,10
Guam,GUM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.7,18.7
Guyana,GUY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.5,11.6
High income,HIC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.901698941,7.93535064
"Hong Kong SAR, China",HKG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.5,4.5
Honduras,HND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.1,7.3
Heavily indebted poor countries (HIPC),HPC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.947286459,5.729319261
Croatia,HRV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.9,5.4
Haiti,HTI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.2,6.7
Hungary,HUN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4,6.9
IBRD only,IBD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.342912114,9.301992976
IDA & IBRD total,IBT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.117635512,8.986872626
IDA total,IDA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.18760442,7.851219133
IDA blend,IDB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.37789446,10.60474371
Indonesia,IDN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.8,6.3
IDA only,IDX,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.576042178,6.457722643
India,IND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8,10.4
Ireland,IRL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,3.2
"Iran, Islamic Rep.",IRN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8,9.6
Iraq,IRQ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2,8.8
Iceland,ISL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.6,5.8
Israel,ISR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.5,9.7
Italy,ITA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.9,5
Jamaica,JAM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.6,11.3
Jordan,JOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.1,12.7
Japan,JPN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5,5.6
Kazakhstan,KAZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.8,6.1
Kenya,KEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.5,3.1
Kyrgyz Republic,KGZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.1
Cambodia,KHM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.2,6.4
Kiribati,KIR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6,22.5
St. Kitts and Nevis,KNA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9,13.3
"Korea, Rep.",KOR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.9,6.9
Kuwait,KWT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,14.6,12.2
Latin America & Caribbean (excluding high income),LAC,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.51640764,9.840786144
Lao PDR,LAO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.6,6.4
Lebanon,LBN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8,11.2
Liberia,LBR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.7,2.4
Libya,LBY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9,10.2
St. Lucia,LCA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.3,11.6
